T,X,V
2.37333,0.276145,-2.07754
2.38667,0.248263,-2.10414
2.4,0.220051,-2.1269
2.41333,0.191562,-2.1458
2.42667,0.162847,-2.16081
2.44,0.133958,-2.17193
2.45333,0.104946,-2.17916
2.46667,0.0758644,-2.18249
2.48,0.046764,-2.18193
2.49333,0.0176967,-2.17751
2.50667,-0.0112859,-2.16924
2.52,-0.0401328,-2.15716
2.53333,-0.0687933,-2.1413
2.54667,-0.0972174,-2.1217
2.56,-0.125356,-2.09842
2.57333,-0.153159,-2.0715
2.58667,-0.18058,-2.04102
2.6,-0.207571,-2.00704
2.61333,-0.234086,-1.96964
2.62667,-0.26008,-1.92889
2.64,-0.285508,-1.88488
2.65333,-0.310329,-1.83771
2.66667,-0.3345,-1.78746
2.68,-0.357981,-1.73424
2.69333,-0.380734,-1.67816
2.70667,-0.40272,-1.61933
2.72,-0.423904,-1.55785
2.73333,-0.444252,-1.49386
2.74667,-0.46373,-1.42748
2.76,-0.482308,-1.35882
2.77333,-0.499956,-1.28804
2.78667,-0.516646,-1.21524
2.8,-0.532354,-1.14059
2.81333,-0.547054,-1.06421
2.82667,-0.560726,-0.98624
2.84,-0.573348,-0.906837
2.85333,-0.584902,-0.826142
2.86667,-0.595373,-0.744304
2.88,-0.604746,-0.661472
2.89333,-0.613009,-0.577797
2.90667,-0.620151,-0.493431
2.92,-0.626164,-0.408527
2.93333,-0.631043,-0.323237
2.94667,-0.634783,-0.237714
2.96,-0.637382,-0.15211
2.97333,-0.63884,-0.0665788
2.98667,-0.639158,0.0187293
3,-0.638342,0.103664
3.01333,-0.636396,0.188075
3.02667,-0.633329,0.271816
3.04,-0.629151,0.35474
3.05333,-0.623874,0.436704
3.06667,-0.617511,0.517566
3.08,-0.610078,0.597187
3.09333,-0.601592,0.675431
3.10667,-0.592073,0.752164
3.12,-0.581542,0.827257
3.13333,-0.570021,0.900582
3.14667,-0.557534,0.972017
3.16,-0.544109,1.04144
3.17333,-0.529772,1.10874
3.18667,-0.514553,1.17381
3.2,-0.498481,1.23653
3.21333,-0.481589,1.29681
3.22667,-0.463911,1.35455
3.24,-0.44548,1.40966
3.25333,-0.426332,1.46204
3.26667,-0.406504,1.51162
3.28,-0.386035,1.55832
3.29333,-0.364962,1.60207
3.30667,-0.343326,1.64281
3.32,-0.321168,1.68047
3.33333,-0.298528,1.71499
3.34667,-0.275449,1.74634
3.36,-0.251973,1.77446
3.37333,-0.228144,1.79932
3.38667,-0.204006,1.8209
3.4,-0.179602,1.83915
3.41333,-0.154976,1.85407
3.42667,-0.130175,1.86564
3.44,-0.105241,1.87386
3.45333,-0.08022,1.87872
3.46667,-0.0551567,1.88022
3.48,-0.0300956,1.87839
3.49333,-0.00508115,1.87323
3.50667,0.0198425,1.86476
3.52,0.0446314,1.85303
3.53333,0.0692421,1.83805
3.54667,0.0936318,1.81987
3.56,0.117758,1.79854
3.57333,0.141579,1.7741
3.58667,0.165054,1.74661
3.6,0.188142,1.71613
3.61333,0.210804,1.68273
3.62667,0.233002,1.64648
3.64,0.254698,1.60745
3.65333,0.275856,1.56573
3.66667,0.29644,1.5214
3.68,0.316415,1.47454
3.69333,0.33575,1.42525
3.70667,0.354412,1.37364
3.72,0.37237,1.31979
3.73333,0.389597,1.26382
3.74667,0.406063,1.20582
3.76,0.421743,1.14592
3.77333,0.436613,1.08423
