T,X,V
2.36,-0.498821,-1.85977
2.37333,-0.52317,-1.79168
2.38667,-0.546576,-1.71836
2.4,-0.568969,-1.63972
2.41333,-0.590278,-1.5557
2.42667,-0.61043,-1.46631
2.44,-0.629356,-1.37163
2.45333,-0.646984,-1.27177
2.46667,-0.663247,-1.16694
2.48,-0.678081,-1.0574
2.49333,-0.691425,-0.943477
2.50667,-0.703223,-0.825582
2.52,-0.713425,-0.70417
2.53333,-0.721988,-0.579761
2.54667,-0.728875,-0.452925
2.56,-0.734058,-0.324277
2.57333,-0.737517,-0.194461
2.58667,-0.739241,-0.0641479
2.6,-0.739228,0.0659811
2.61333,-0.737485,0.195245
2.62667,-0.734028,0.322973
2.64,-0.728882,0.448517
2.65333,-0.72208,0.571264
2.66667,-0.713664,0.690639
2.68,-0.703681,0.806121
2.69333,-0.692187,0.917245
2.70667,-0.679242,1.02361
2.72,-0.664913,1.12487
2.73333,-0.649269,1.22077
2.74667,-0.632384,1.3111
2.76,-0.614332,1.39572
2.77333,-0.59519,1.47457
2.78667,-0.575036,1.54763
2.8,-0.553946,1.61494
2.81333,-0.531996,1.6766
2.82667,-0.509261,1.73274
2.84,-0.485813,1.78353
2.85333,-0.461723,1.82918
2.86667,-0.437057,1.86992
2.88,-0.411879,1.90598
2.89333,-0.38625,1.93762
2.90667,-0.360228,1.96511
2.92,-0.333865,1.98872
2.93333,-0.307211,2.00869
2.94667,-0.280315,2.02529
2.96,-0.253218,2.03875
2.97333,-0.225961,2.04931
2.98667,-0.198581,2.05717
3,-0.171114,2.06252
3.01333,-0.143591,2.06554
3.02667,-0.116043,2.06637
3.04,-0.0884971,2.06514
3.05333,-0.060981,2.06196
3.06667,-0.0335199,2.05689
3.08,-0.0061386,2.05
3.09333,0.0211388,2.04132
3.10667,0.0482886,2.03085
3.12,0.0752868,2.01858
3.13333,0.102109,2.00448
3.14667,0.128731,1.98848
3.16,0.155127,1.97052
3.17333,0.181269,1.95051
3.18667,0.207131,1.92833
3.2,0.232681,1.90387
3.21333,0.25789,1.87699
3.22667,0.282723,1.84756
3.24,0.307146,1.81542
3.25333,0.331121,1.78044
3.26667,0.354611,1.74246
3.28,0.377573,1.70134
3.29333,0.399965,1.65693
3.30667,0.421743,1.60912
3.32,0.442859,1.55778
3.33333,0.463268,1.50284
3.34667,0.482919,1.4442
3.36,0.501763,1.38183
3.37333,0.519751,1.31571
3.38667,0.536832,1.24586
3.4,0.552957,1.17231
3.41333,0.568078,1.09516
3.42667,0.582146,1.01452
3.44,0.595117,0.930567
3.45333,0.606947,0.843494
3.46667,0.617597,0.753543
3.48,0.62703,0.66099
3.49333,0.635213,0.566149
3.50667,0.642119,0.469363
3.52,0.647723,0.371004
3.53333,0.652007,0.271468
3.54667,0.654958,0.171168
